2024-09-14 13:02:41 status half-installed debianutils:amd64 5.7-0.5~deb12u1
2024-09-14 13:02:41 status unpacked debianutils:amd64 5.7-0.5~deb12u1
2024-09-14 13:02:41 install diffutils:amd64 <none> 1:3.8-4
2024-09-14 13:02:41 status half-installed diffutils:amd64 1:3.8-4
2024-09-14 13:02:41 status unpacked diffutils:amd64 1:3.8-4
2024-09-14 13:02:42 upgrade dpkg:amd64 1.21.22 1.21.22
2024-09-14 13:02:42 status half-configured dpkg:amd64 1.21.22
2024-09-14 13:02:42 status unpacked dpkg:amd64 1.21.22
2024-09-14 13:02:42 status half-installed dpkg:amd64 1.21.22
2024-09-14 13:02:42 status unpacked dpkg:amd64 1.21.22
2024-09-14 13:02:42 install e2fsprogs:amd64 <none> 1.47.0-2
2024-09-14 13:02:42 status half-installed e2fsprogs:amd64 1.47.0-2
2024-09-14 13:02:42 status unpacked e2fsprogs:amd64 1.47.0-2
2024-09-14 13:02:42 install libcom-err2:amd64 <none> 1.47.0-2
2024-09-14 13:02:42 status half-installed libcom-err2:amd64 1.47.0-2
2024-09-14 13:02:42 status unpacked libcom-err2:amd64 1.47.0-2
2024-09-14 13:02:42 install libext2fs2:amd64 <none> 1.47.0-2
2024-09-14 13:02:42 status half-installed libext2fs2:amd64 1.47.0-2
2024-09-14 13:02:42 status unpacked libext2fs2:amd64 1.47.0-2
2024-09-14 13:02:42 install libss2:amd64 <none> 1.47.0-2
2024-09-14 13:02:42 status half-installed libss2:amd64 1.47.0-2
2024-09-14 13:02:42 status unpacked libss2:amd64 1.47.0-2
2024-09-14 13:02:42 install logsave:amd64 <none> 1.47.0-2
2024-09-14 13:02:42 status half-installed logsave:amd64 1.47.0-2
2024-09-14 13:02:42 status unpacked logsave:amd64 1.47.0-2
2024-09-14 13:02:42 install findutils:amd64 <none> 4.9.0-4
2024-09-14 13:02:42 status half-installed findutils:amd64 4.9.0-4
2024-09-14 13:02:42 status unpacked findutils:amd64 4.9.0-4
2024-09-14 13:02:42 install gcc-12-base:amd64 <none> 12.2.0-14
2024-09-14 13:02:42 status half-installed gcc-12-base:amd64 12.2.0-14
2024-09-14 13:02:42 status unpacked gcc-12-base:amd64 12.2.0-14
2024-09-14 13:02:42 install libgcc-s1:amd64 <none> 12.2.0-14
2024-09-14 13:02:42 status half-installed libgcc-s1:amd64 12.2.0-14
2024-09-14 13:02:42 status unpacked libgcc-s1:amd64 12.2.0-14
2024-09-14 13:02:42 install libstdc++6:amd64 <none> 12.2.0-14
2024-09-14 13:02:42 status half-installed libstdc++6:amd64 12.2.0-14
2024-09-14 13:02:42 status unpacked libstdc++6:amd64 12.2.0-14
2024-09-14 13:02:42 install libc-bin:amd64 <none> 2.36-9+deb12u8
2024-09-14 13:02:42 status half-installed libc-bin:amd64 2.36-9+deb12u8
2024-09-14 13:02:42 status unpacked libc-bin:amd64 2.36-9+deb12u8
2024-09-14 13:02:42 upgrade libc6:amd64 2.36-9+deb12u8 2.36-9+deb12u8
2024-09-14 13:02:42 status half-configured libc6:amd64 2.36-9+deb12u8
2024-09-14 13:02:42 status unpacked libc6:amd64 2.36-9+deb12u8
2024-09-14 13:02:42 status half-installed libc6:amd64 2.36-9+deb12u8
2024-09-14 13:02:42 status unpacked libc6:amd64 2.36-9+deb12u8
2024-09-14 13:02:42 install libgmp10:amd64 <none> 2:6.2.1+dfsg1-1.1
2024-09-14 13:02:42 status half-installed libgmp10:amd64 2:6.2.1+dfsg1-1.1
2024-09-14 13:02:42 status unpacked libgmp10:amd64 2:6.2.1+dfsg1-1.1
2024-09-14 13:02:42 install gpgv:amd64 <none> 2.2.40-1.1
2024-09-14 13:02:42 status half-installed gpgv:amd64 2.2.40-1.1
2024-09-14 13:02:43 status unpacked gpgv:amd64 2.2.40-1.1
2024-09-14 13:02:43 install libgnutls30:amd64 <none> 3.7.9-2+deb12u3
2024-09-14 13:02:43 status half-installed libgnutls30:amd64 3.7.9-2+deb12u3
2024-09-14 13:02:43 status unpacked libgnutls30:amd64 3.7.9-2+deb12u3
2024-09-14 13:02:43 install grep:amd64 <none> 3.8-5
2024-09-14 13:02:43 status half-installed grep:amd64 3.8-5
2024-09-14 13:02:43 status unpacked grep:amd64 3.8-5
2024-09-14 13:02:43 install gzip:amd64 <none> 1.12-1
2024-09-14 13:02:43 status half-installed gzip:amd64 1.12-1
2024-09-14 13:02:43 status unpacked gzip:amd64 1.12-1
2024-09-14 13:02:43 install hostname:amd64 <none> 3.23+nmu1
2024-09-14 13:02:43 status half-installed hostname:amd64 3.23+nmu1
2024-09-14 13:02:43 status unpacked hostname:amd64 3.23+nmu1
2024-09-14 13:02:43 install init-system-helpers:all <none> 1.65.2
2024-09-14 13:02:43 status half-installed init-system-helpers:all 1.65.2
2024-09-14 13:02:43 status unpacked init-system-helpers:all 1.65.2
2024-09-14 13:02:43 install libcap-ng0:amd64 <none> 0.8.3-1+b3
2024-09-14 13:02:43 status half-installed libcap-ng0:amd64 0.8.3-1+b3
2024-09-14 13:02:43 status unpacked libcap-ng0:amd64 0.8.3-1+b3
2024-09-14 13:02:43 install libcap2:amd64 <none> 1:2.66-4
2024-09-14 13:02:43 status half-installed libcap2:amd64 1:2.66-4
2024-09-14 13:02:43 status unpacked libcap2:amd64 1:2.66-4
2024-09-14 13:02:43 install libffi8:amd64 <none> 3.4.4-1
2024-09-14 13:02:43 status half-installed libffi8:amd64 3.4.4-1
2024-09-14 13:02:43 status unpacked libffi8:amd64 3.4.4-1
2024-09-14 13:02:43 install libgcrypt20:amd64 <none> 1.10.1-3
2024-09-14 13:02:43 status half-installed libgcrypt20:amd64 1.10.1-3
2024-09-14 13:02:43 status unpacked libgcrypt20:amd64 1.10.1-3
2024-09-14 13:02:43 install libgpg-error0:amd64 <none> 1.46-1
2024-09-14 13:02:43 status half-installed libgpg-error0:amd64 1.46-1
2024-09-14 13:02:43 status unpacked libgpg-error0:amd64 1.46-1
2024-09-14 13:02:43 install libidn2-0:amd64 <none> 2.3.3-1+b1
2024-09-14 13:02:43 status half-installed libidn2-0:amd64 2.3.3-1+b1
2024-09-14 13:02:43 status unpacked libidn2-0:amd64 2.3.3-1+b1
2024-09-14 13:02:43 install libmd0:amd64 <none> 1.0.4-2
2024-09-14 13:02:43 status half-installed libmd0:amd64 1.0.4-2
2024-09-14 13:02:43 status unpacked libmd0:amd64 1.0.4-2
2024-09-14 13:02:43 install libseccomp2:amd64 <none> 2.5.4-1+deb12u1
2024-09-14 13:02:43 status half-installed libseccomp2:amd64 2.5.4-1+deb12u1
2024-09-14 13:02:43 status unpacked libseccomp2:amd64 2.5.4-1+deb12u1
2024-09-14 13:02:43 install libselinux1:amd64 <none> 3.4-1+b6
2024-09-14 13:02:43 status half-installed libselinux1:amd64 3.4-1+b6
2024-09-14 13:02:43 status unpacked libselinux1:amd64 3.4-1+b6
2024-09-14 13:02:43 install libsemanage-common:all <none> 3.4-1
2024-09-14 13:02:43 status half-installed libsemanage-common:all 3.4-1
2024-09-14 13:02:43 status unpacked libsemanage-common:all 3.4-1
2024-09-14 13:02:43 install libsemanage2:amd64 <none> 3.4-1+b5
2024-09-14 13:02:43 status half-installed libsemanage2:amd64 3.4-1+b5
2024-09-14 13:02:43 status unpacked libsemanage2:amd64 3.4-1+b5
2024-09-14 13:02:43 install libsepol2:amd64 <none> 3.4-2.1
2024-09-14 13:02:43 status half-installed libsepol2:amd64 3.4-2.1
2024-09-14 13:02:43 status unpacked libsepol2:amd64 3.4-2.1
2024-09-14 13:02:43 install libtasn1-6:amd64 <none> 4.19.0-2
2024-09-14 13:02:43 status half-installed libtasn1-6:amd64 4.19.0-2
2024-09-14 13:02:43 status unpacked libtasn1-6:amd64 4.19.0-2
2024-09-14 13:02:43 install libunistring2:amd64 <none> 1.0-2
2024-09-14 13:02:43 status half-installed libunistring2:amd64 1.0-2
2024-09-14 13:02:43 status unpacked libunistring2:amd64 1.0-2
2024-09-14 13:02:43 install libcrypt1:amd64 <none> 1:4.4.33-2
2024-09-14 13:02:43 status half-installed libcrypt1:amd64 1:4.4.33-2
2024-09-14 13:02:43 status unpacked libcrypt1:amd64 1:4.4.33-2
2024-09-14 13:02:43 install libzstd1:amd64 <none> 1.5.4+dfsg2-5
2024-09-14 13:02:43 status half-installed libzstd1:amd64 1.5.4+dfsg2-5
2024-09-14 13:02:43 status unpacked libzstd1:amd64 1.5.4+dfsg2-5
2024-09-14 13:02:43 install liblz4-1:amd64 <none> 1.9.4-1
2024-09-14 13:02:43 status half-installed liblz4-1:amd64 1.9.4-1
2024-09-14 13:02:43 status unpacked liblz4-1:amd64 1.9.4-1
2024-09-14 13:02:43 upgrade mawk:amd64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2024-09-14 13:02:43 status half-configured mawk:amd64 1.3.4.20200120-3.1
2024-09-14 13:02:43 status unpacked mawk:amd64 1.3.4.20200120-3.1
2024-09-14 13:02:43 status half-installed mawk:amd64 1.3.4.20200120-3.1
2024-09-14 13:02:43 status unpacked mawk:amd64 1.3.4.20200120-3.1
2024-09-14 13:02:43 install libtinfo6:amd64 <none> 6.4-4
2024-09-14 13:02:43 status half-installed libtinfo6:amd64 6.4-4
2024-09-14 13:02:43 status unpacked libtinfo6:amd64 6.4-4
2024-09-14 13:02:43 install ncurses-base:all <none> 6.4-4
2024-09-14 13:02:43 status half-installed ncurses-base:all 6.4-4
2024-09-14 13:02:43 status unpacked ncurses-base:all 6.4-4
2024-09-14 13:02:43 install ncurses-bin:amd64 <none> 6.4-4
2024-09-14 13:02:43 status half-installed ncurses-bin:amd64 6.4-4
2024-09-14 13:02:44 status unpacked ncurses-bin:amd64 6.4-4
2024-09-14 13:02:44 install libhogweed6:amd64 <none> 3.8.1-2
2024-09-14 13:02:44 status half-installed libhogweed6:amd64 3.8.1-2
2024-09-14 13:02:44 status unpacked libhogweed6:amd64 3.8.1-2
2024-09-14 13:02:44 install libnettle8:amd64 <none> 3.8.1-2
2024-09-14 13:02:44 status half-installed libnettle8:amd64 3.8.1-2
2024-09-14 13:02:44 status unpacked libnettle8:amd64 3.8.1-2
2024-09-14 13:02:44 install libp11-kit0:amd64 <none> 0.24.1-2
2024-09-14 13:02:44 status half-installed libp11-kit0:amd64 0.24.1-2
2024-09-14 13:02:44 status unpacked libp11-kit0:amd64 0.24.1-2
2024-09-14 13:02:44 install libpam-modules:amd64 <none> 1.5.2-6+deb12u1
2024-09-14 13:02:44 status half-installed libpam-modules:amd64 1.5.2-6+deb12u1
2024-09-14 13:02:44 status unpacked libpam-modules:amd64 1.5.2-6+deb12u1
2024-09-14 13:02:44 install libpam-modules-bin:amd64 <none> 1.5.2-6+deb12u1
2024-09-14 13:02:44 status half-installed libpam-modules-bin:amd64 1.5.2-6+deb12u1
2024-09-14 13:02:44 status unpacked libpam-modules-bin:amd64 1.5.2-6+deb12u1
2024-09-14 13:02:44 install libpam-runtime:all <none> 1.5.2-6+deb12u1
2024-09-14 13:02:44 status half-installed libpam-runtime:all 1.5.2-6+deb12u1
2024-09-14 13:02:44 status unpacked libpam-runtime:all 1.5.2-6+deb12u1
2024-09-14 13:02:44 install libpam0g:amd64 <none> 1.5.2-6+deb12u1
2024-09-14 13:02:44 status half-installed libpam0g:amd64 1.5.2-6+deb12u1
2024-09-14 13:02:44 status unpacked libpam0g:amd64 1.5.2-6+deb12u1
2024-09-14 13:02:44 install libpcre2-8-0:amd64 <none> 10.42-1
2024-09-14 13:02:44 status half-installed libpcre2-8-0:amd64 10.42-1
2024-09-14 13:02:44 status unpacked libpcre2-8-0:amd64 10.42-1
2024-09-14 13:02:44 upgrade perl-base:amd64 5.36.0-7+deb12u1 5.36.0-7+deb12u1
2024-09-14 13:02:44 status half-configured perl-base:amd64 5.36.0-7+deb12u1
2024-09-14 13:02:44 status unpacked perl-base:amd64 5.36.0-7+deb12u1
2024-09-14 13:02:44 status half-installed perl-base:amd64 5.36.0-7+deb12u1
2024-09-14 13:02:44 status unpacked perl-base:amd64 5.36.0-7+deb12u1
2024-09-14 13:02:44 install sed:amd64 <none> 4.9-1
2024-09-14 13:02:44 status half-installed sed:amd64 4.9-1
2024-09-14 13:02:44 status unpacked sed:amd64 4.9-1
2024-09-14 13:02:44 install login:amd64 <none> 1:4.13+dfsg1-1+b1
2024-09-14 13:02:44 status half-installed login:amd64 1:4.13+dfsg1-1+b1
2024-09-14 13:02:44 status unpacked login:amd64 1:4.13+dfsg1-1+b1
2024-09-14 13:02:44 install passwd:amd64 <none> 1:4.13+dfsg1-1+b1
2024-09-14 13:02:44 status half-installed passwd:amd64 1:4.13+dfsg1-1+b1
2024-09-14 13:02:44 status unpacked passwd:amd64 1:4.13+dfsg1-1+b1
2024-09-14 13:02:44 install libsystemd0:amd64 <none> 252.30-1~deb12u2
2024-09-14 13:02:44 status half-installed libsystemd0:amd64 252.30-1~deb12u2
2024-09-14 13:02:44 status unpacked libsystemd0:amd64 252.30-1~deb12u2
2024-09-14 13:02:44 install libudev1:amd64 <none> 252.30-1~deb12u2
2024-09-14 13:02:44 status half-installed libudev1:amd64 252.30-1~deb12u2
2024-09-14 13:02:44 status unpacked libudev1:amd64 252.30-1~deb12u2
2024-09-14 13:02:44 install sysvinit-utils:amd64 <none> 3.06-4
2024-09-14 13:02:44 status half-installed sysvinit-utils:amd64 3.06-4
2024-09-14 13:02:44 status unpacked sysvinit-utils:amd64 3.06-4
2024-09-14 13:02:44 install tar:amd64 <none> 1.34+dfsg-1.2+deb12u1
2024-09-14 13:02:44 status half-installed tar:amd64 1.34+dfsg-1.2+deb12u1
2024-09-14 13:02:45 status unpacked tar:amd64 1.34+dfsg-1.2+deb12u1
2024-09-14 13:02:45 install tzdata:all <none> 2024a-0+deb12u1
2024-09-14 13:02:45 status half-installed tzdata:all 2024a-0+deb12u1
2024-09-14 13:02:45 status unpacked tzdata:all 2024a-0+deb12u1
2024-09-14 13:02:45 install usr-is-merged:all <none> 37~deb12u1
2024-09-14 13:02:45 status half-installed usr-is-merged:all 37~deb12u1
2024-09-14 13:02:45 status unpacked usr-is-merged:all 37~deb12u1
2024-09-14 13:02:45 install bsdutils:amd64 <none> 1:2.38.1-5+deb12u1
2024-09-14 13:02:45 status half-installed bsdutils:amd64 1:2.38.1-5+deb12u1
2024-09-14 13:02:45 status unpacked bsdutils:amd64 1:2.38.1-5+deb12u1
2024-09-14 13:02:45 install libblkid1:amd64 <none> 2.38.1-5+deb12u1
2024-09-14 13:02:45 status half-installed libblkid1:amd64 2.38.1-5+deb12u1
2024-09-14 13:02:45 status unpacked libblkid1:amd64 2.38.1-5+deb12u1
2024-09-14 13:02:45 install libmount1:amd64 <none> 2.38.1-5+deb12u1
2024-09-14 13:02:45 status half-installed libmount1:amd64 2.38.1-5+deb12u1
2024-09-14 13:02:45 status unpacked libmount1:amd64 2.38.1-5+deb12u1
2024-09-14 13:02:45 install libsmartcols1:amd64 <none> 2.38.1-5+deb12u1
2024-09-14 13:02:45 status half-installed libsmartcols1:amd64 2.38.1-5+deb12u1
2024-09-14 13:02:45 status unpacked libsmartcols1:amd64 2.38.1-5+deb12u1
2024-09-14 13:02:45 install libuuid1:amd64 <none> 2.38.1-5+deb12u1
2024-09-14 13:02:45 status half-installed libuuid1:amd64 2.38.1-5+deb12u1
2024-09-14 13:02:45 status unpacked libuuid1:amd64 2.38.1-5+deb12u1
2024-09-14 13:02:45 install mount:amd64 <none> 2.38.1-5+deb12u1
2024-09-14 13:02:45 status half-installed mount:amd64 2.38.1-5+deb12u1
2024-09-14 13:02:45 status unpacked mount:amd64 2.38.1-5+deb12u1
2024-09-14 13:02:45 install util-linux:amd64 <none> 2.38.1-5+deb12u1
2024-09-14 13:02:45 status half-installed util-linux:amd64 2.38.1-5+deb12u1
2024-09-14 13:02:45 status unpacked util-linux:amd64 2.38.1-5+deb12u1
2024-09-14 13:02:45 install util-linux-extra:amd64 <none> 2.38.1-5+deb12u1
2024-09-14 13:02:45 status half-installed util-linux-extra:amd64 2.38.1-5+deb12u1
2024-09-14 13:02:45 status unpacked util-linux-extra:amd64 2.38.1-5+deb12u1
2024-09-14 13:02:45 install libxxhash0:amd64 <none> 0.8.1-1
2024-09-14 13:02:45 status half-installed libxxhash0:amd64 0.8.1-1
2024-09-14 13:02:45 status unpacked libxxhash0:amd64 0.8.1-1
2024-09-14 13:02:45 install liblzma5:amd64 <none> 5.4.1-0.2
2024-09-14 13:02:45 status half-installed liblzma5:amd64 5.4.1-0.2
2024-09-14 13:02:45 status unpacked liblzma5:amd64 5.4.1-0.2
2024-09-14 13:02:45 install zlib1g:amd64 <none> 1:1.2.13.dfsg-1
2024-09-14 13:02:45 status half-installed zlib1g:amd64 1:1.2.13.dfsg-1
2024-09-14 13:02:45 status unpacked zlib1g:amd64 1:1.2.13.dfsg-1
2024-09-14 13:02:45 startup packages configure
2024-09-14 13:02:45 configure debian-archive-keyring:all 2023.3+deb12u1 <none>
2024-09-14 13:02:45 status unpacked debian-archive-keyring:all 2023.3+deb12u1
2024-09-14 13:02:45 status half-configured debian-archive-keyring:all 2023.3+deb12u1
2024-09-14 13:02:45 status installed debian-archive-keyring:all 2023.3+deb12u1
2024-09-14 13:02:45 configure usr-is-merged:all 37~deb12u1 <none>
2024-09-14 13:02:45 status unpacked usr-is-merged:all 37~deb12u1
2024-09-14 13:02:45 status half-configured usr-is-merged:all 37~deb12u1
2024-09-14 13:02:45 status installed usr-is-merged:all 37~deb12u1
2024-09-14 13:02:45 configure libaudit-common:all 1:3.0.9-1 <none>
2024-09-14 13:02:45 status unpacked libaudit-common:all 1:3.0.9-1
2024-09-14 13:02:45 status half-configured libaudit-common:all 1:3.0.9-1
2024-09-14 13:02:45 status installed libaudit-common:all 1:3.0.9-1
2024-09-14 13:02:45 configure libsemanage-common:all 3.4-1 <none>
2024-09-14 13:02:45 status unpacked libsemanage-common:all 3.4-1
2024-09-14 13:02:45 status half-configured libsemanage-common:all 3.4-1
2024-09-14 13:02:45 status installed libsemanage-common:all 3.4-1
2024-09-14 13:02:45 configure debconf:all 1.5.82 <none>
2024-09-14 13:02:45 status unpacked debconf:all 1.5.82
2024-09-14 13:02:45 status half-configured debconf:all 1.5.82
2024-09-14 13:02:45 status installed debconf:all 1.5.82
2024-09-14 13:02:45 configure gcc-12-base:amd64 12.2.0-14 <none>
2024-09-14 13:02:45 status unpacked gcc-12-base:amd64 12.2.0-14
2024-09-14 13:02:45 status half-configured gcc-12-base:amd64 12.2.0-14
2024-09-14 13:02:45 status installed gcc-12-base:amd64 12.2.0-14
2024-09-14 13:02:45 configure tzdata:all 2024a-0+deb12u1 <none>
2024-09-14 13:02:45 status unpacked tzdata:all 2024a-0+deb12u1
2024-09-14 13:02:45 status half-configured tzdata:all 2024a-0+deb12u1
2024-09-14 13:02:46 status installed tzdata:all 2024a-0+deb12u1
